Rank	Model	bleu	delta bleu	chrf	delta chrf	bertscore_f1	delta bertscore_f1
2	@extended	15.65	xmark	49.08	xmark	84.58	xmark
6	@extendedscratch	10.9	xmark	41.56	xmark	83.43	xmark
4	@base	11.2	xmark	41.58	xmark	86.77	xmark
8	@basescratch	10.07	xmark	39.2	xmark	86.21	xmark
13	@fiction	7.53	--2.5	33.42	--5.8	79.94	--6.3
9	@nonfiction	10.54	+0.5	40.37	+1.2	81.06	--5.1
5	@factual	12.58	+2.5	43.37	+4.2	83.66	--2.5
1	@newspapers	36.89	+26.8	57.01	+17.8	90.89	+4.7
10	@books	10.27	+0.2	39.75	+0.5	81.89	--4.3
7	@rightholders	10.48	+0.4	40.38	+1.2	84.2	--2.0
3	@untranslatedwithnewspapers	12.65	+2.6	43.72	+4.5	85.83	--0.4
11	@untranslated	9.74	--0.3	39.23	-0.0	81.38	--4.8
12	@translated	7.45	--2.6	33.95	--5.2	82.02	--4.2
1	@extended	59.25	xmark	73.4	xmark	94.72	xmark
3	@extendedscratch	55.15	xmark	69.83	xmark	94.01	xmark
2	@base	58.8	xmark	73.06	xmark	94.63	xmark
5	@basescratch	53.23	xmark	68.53	xmark	93.51	xmark
13	@fiction	49.48	--3.8	66.69	--1.8	93.04	--0.5
10	@nonfiction	50.01	--3.2	68.36	--0.2	93.43	--0.1
11	@factual	49.36	--3.9	68.32	--0.2	93.4	--0.1
9	@newspapers	52.18	--1.0	67.47	--1.1	93.4	--0.1
4	@books	50.2	--3.0	68.77	+0.2	93.56	-0.0
6	@rightholders	51.25	--2.0	68.56	-0.0	93.51	-0.0
8	@untranslatedwithnewspapers	50.12	--3.1	68.74	+0.2	93.48	--0.0
6	@untranslated	51.34	--1.9	68.43	--0.1	93.52	-0.0
12	@translated	49.89	--3.3	67.17	--1.4	93.13	--0.4
1	@extended	59.86	xmark	73.81	xmark	94.86	xmark
3	@extendedscratch	56.39	xmark	70.85	xmark	94.23	xmark
2	@base	59.24	xmark	73.29	xmark	94.73	xmark
9	@basescratch	54.66	xmark	69.29	xmark	93.9	xmark
12	@fiction	52.82	--1.8	68.33	--1.0	93.66	--0.2
10	@nonfiction	54.33	--0.3	69.55	+0.3	93.97	+0.1
7	@factual	54.5	--0.2	69.81	+0.5	93.95	-0.0
11	@newspapers	53.51	--1.1	68.47	--0.8	93.78	--0.1
4	@books	54.75	+0.1	69.69	+0.4	94.06	+0.2
5	@rightholders	54.67	-0.0	69.64	+0.3	94.06	+0.2
8	@untranslatedwithnewspapers	54.4	--0.3	69.56	+0.3	93.98	+0.1
6	@untranslated	54.58	--0.1	69.72	+0.4	94.03	+0.1
13	@translated	52.86	--1.8	68.24	--1.1	93.66	--0.2
1	@extended	60.54	xmark	74.26	xmark	94.96	xmark
3	@extendedscratch	57.3	xmark	71.55	xmark	94.41	xmark
2	@base	59.74	xmark	73.69	xmark	94.82	xmark
10	@basescratch	55.13	xmark	69.84	xmark	94.04	xmark
12	@fiction	54.3	--0.8	69.0	--0.8	93.82	--0.2
7	@nonfiction	55.37	+0.2	70.17	+0.3	94.1	+0.1
8	@factual	55.36	+0.2	69.97	+0.1	94.05	-0.0
13	@newspapers	53.97	--1.2	68.95	--0.9	93.86	--0.2
5	@books	55.73	+0.6	70.16	+0.3	94.14	+0.1
6	@rightholders	55.62	+0.5	70.19	+0.3	94.1	+0.1
9	@untranslatedwithnewspapers	55.35	+0.2	69.86	-0.0	94.08	-0.0
4	@untranslated	55.65	+0.5	70.21	+0.4	94.12	+0.1
11	@translated	54.12	--1.0	69.15	--0.7	93.84	--0.2
