Model	Bokmål	Nynorsk
extended	46.90473783910458	45.71863079349575
base	44.929561337049186	43.50094826596816
base + books	47.369426167580826	44.030923110576765
base + newspapers	51.27014401911996	46.791601267027424
base + books + newspapers	48.34676888062042	44.06342189718958
base + fiction books	43.843270144724585	42.582820201016645
base + nonfiction books	47.05713281056693	44.78407924451304
base + nonfiction books + newspapers	48.02813068933855	45.781208582546455
base + original books	47.52141665581779	44.32248477918545
base + original books + newspapers	48.06286143756035	45.21655809826599
base + translated books	44.010328227985376	42.53076488051421
extended (warm)	50.43204767377726	49.15661235469532
base (warm)	49.774511064600304	48.16009812478975
Mistral 7B v0.1	47.27174292229143	46.737467554793106
extended instruct	50.99823447807801	47.94850007098227
base instruct	49.45489178314733	48.85655016818256
extended (warm) instruct	54.15605259557481	50.74465221304764
base (warm) instruct	55.58332023560296	50.125605380488544
