model	bertscore_f1	k	prompt	task
mimir-mistral-7b-core-scratch	87.986	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	80.009	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	83.787	0	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	71.384	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	87.732	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	78.533	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	80.045	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	61.526	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	87.376	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	73.494	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	69.412	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	75.825	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	77.839	0	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	69.02	0	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	69.14	0	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	59.789	0	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.075	0	prompt_0	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	76.108	0	prompt_1	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	81.963	0	prompt_2	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	72.253	0	prompt_3	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	96.312	0	prompt_0	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	94.7	0	prompt_1	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	87.523	0	prompt_2	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	86.767	0	prompt_3	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	90.522	1	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.52	1	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.636	1	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	88.914	1	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.038	1	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.198	1	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.124	1	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	92.369	1	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	92.718	1	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.082	1	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	92.801	1	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	91.947	1	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.718	1	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.579	1	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.588	1	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.1	1	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.087	4	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.942	4	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.189	4	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.034	4	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.409	4	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.605	4	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.519	4	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.162	4	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.338	4	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.444	4	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.38	4	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.276	4	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.885	4	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.947	4	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.908	4	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.881	4	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.052	16	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.041	16	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.169	16	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.014	16	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.573	16	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.632	16	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.693	16	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.385	16	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.476	16	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.563	16	prompt_1	tatoeba_eng_nob_nb
