Model	noridiom_nn (em)	delta (em)	noridiom_nn (fscore)	delta (fscore)
@extended	35.66	xmark	42.1	xmark
@extendedscratch	27.43	xmark	32.58	xmark
@base	26.18	xmark	30.79	xmark
@basescratch	8.98	xmark	14.22	xmark
@fiction	14.21	+5.2	19.53	+5.3
@nonfiction	26.68	+17.7	31.5	+17.3
@factual	31.42	+22.4	35.26	+21.0
@newspapers	39.9	+30.9	42.64	+28.4
@books	21.7	+12.7	27.68	+13.5
@rightholders	24.19	+15.2	28.48	+14.3
@untranslatedwithnewspapers	28.68	+19.7	32.84	+18.6
@untranslated	26.18	+17.2	31.56	+17.3
@translated	15.46	+6.5	20.66	+6.4
