model	bertscore_f1	k	prompt	task
mimir-mistral-7b-extended-instruct	92.145	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.357	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.392	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.337	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.064	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.824	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.876	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.72	1	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.588	1	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.499	1	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.387	1	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.514	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	90.813	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	90.787	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.097	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.052	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.398	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.387	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.405	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.337	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	89.371	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	90.058	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	85.028	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	84.518	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	89.371	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	90.058	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	84.518	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	85.028	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.35	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	82.764	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.35	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	87.214	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	87.214	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	82.764	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	86.201	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	86.201	0	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	84.235	0	prompt-0	tatoeba_eng_nno_nn
Mistral-7B-v0.1	71.886	0	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	83.257	0	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	50.189	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	89.743	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	88.849	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	88.971	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	86.496	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	73.803	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	83.065	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	85.758	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	89.607	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.383	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.462	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.459	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.411	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.181	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.099	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.099	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.07	16	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.546	16	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.473	16	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.579	16	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.655	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.366	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.456	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.573	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.508	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.665	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.504	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.643	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.689	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.32	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.19	4	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.352	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.331	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.92	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.967	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.04	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.921	4	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.948	4	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.956	4	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.045	4	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.997	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.083	4	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.121	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.139	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.09	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.323	4	prompt-2	tatoeba_eng_nno_nn
