Rank	Model	bleu	delta bleu	chrf	delta chrf	bertscore_f1	delta bertscore_f1
4	@extended	11.4	xmark	41.8	xmark	81.98	xmark
4	@extendedscratch	10.38	xmark	40.29	xmark	83.67	xmark
2	@base	19.19	xmark	52.44	xmark	90.13	xmark
3	@basescratch	12.86	xmark	41.58	xmark	87.5	xmark
13	@fiction	5.64	--7.2	27.26	--14.3	78.98	--8.5
8	@nonfiction	9.63	--3.2	37.72	--3.9	79.82	--7.7
6	@factual	9.97	--2.9	36.96	--4.6	82.56	--4.9
1	@newspapers	35.06	+22.2	61.26	+19.7	91.88	+4.4
9	@books	8.78	--4.1	35.97	--5.6	79.57	--7.9
12	@rightholders	7.65	--5.2	33.63	--7.9	81.38	--6.1
7	@untranslatedwithnewspapers	9.92	--2.9	36.56	--5.0	83.66	--3.8
10	@untranslated	8.69	--4.2	35.84	--5.7	79.76	--7.7
10	@translated	8.34	--4.5	35.35	--6.2	80.48	--7.0
1	@extended	58.71	xmark	72.08	xmark	94.35	xmark
3	@extendedscratch	55.67	xmark	69.6	xmark	93.54	xmark
2	@base	58.19	xmark	71.77	xmark	94.27	xmark
4	@basescratch	52.48	xmark	67.21	xmark	93.06	xmark
12	@fiction	44.88	--7.6	65.46	--1.8	92.57	--0.5
7	@nonfiction	50.4	--2.1	67.34	+0.1	92.95	--0.1
8	@factual	49.84	--2.6	67.44	+0.2	92.86	--0.2
10	@newspapers	51.25	--1.2	66.54	--0.7	92.85	--0.2
9	@books	47.96	--4.5	66.86	--0.3	93.0	--0.1
5	@rightholders	48.48	--4.0	67.23	-0.0	93.15	+0.1
10	@untranslatedwithnewspapers	47.96	--4.5	66.59	--0.6	93.03	--0.0
5	@untranslated	50.72	--1.8	67.25	-0.0	92.98	--0.1
13	@translated	45.52	--7.0	65.4	--1.8	92.5	--0.6
1	@extended	59.3	xmark	72.57	xmark	94.41	xmark
3	@extendedscratch	55.43	xmark	69.75	xmark	93.74	xmark
2	@base	58.81	xmark	72.26	xmark	94.45	xmark
7	@basescratch	53.64	xmark	68.16	xmark	93.44	xmark
12	@fiction	52.68	--1.0	67.67	--0.5	93.25	--0.2
6	@nonfiction	53.77	+0.1	68.73	+0.6	93.38	--0.1
9	@factual	53.5	--0.1	68.44	+0.3	93.4	--0.0
13	@newspapers	53.05	--0.6	67.53	--0.6	93.25	--0.2
7	@books	53.69	-0.0	68.7	+0.5	93.32	--0.1
4	@rightholders	53.64	-0.0	68.89	+0.7	93.47	-0.0
10	@untranslatedwithnewspapers	53.4	--0.2	68.39	+0.2	93.39	--0.0
5	@untranslated	53.85	+0.2	68.5	+0.3	93.41	--0.0
11	@translated	52.22	--1.4	67.76	--0.4	93.36	--0.1
2	@extended	59.95	xmark	72.83	xmark	94.57	xmark
3	@extendedscratch	57.16	xmark	70.9	xmark	94.09	xmark
1	@base	60.17	xmark	73.08	xmark	94.63	xmark
8	@basescratch	55.1	xmark	69.14	xmark	93.68	xmark
11	@fiction	54.47	--0.6	68.49	--0.7	93.57	--0.1
10	@nonfiction	54.83	--0.3	69.12	--0.0	93.63	--0.1
9	@factual	55.03	--0.1	69.26	+0.1	93.64	--0.0
12	@newspapers	54.4	--0.7	68.46	--0.7	93.58	--0.1
5	@books	55.42	+0.3	69.42	+0.3	93.73	-0.0
7	@rightholders	55.15	-0.0	69.33	+0.2	93.69	-0.0
4	@untranslatedwithnewspapers	55.6	+0.5	69.59	+0.5	93.73	-0.0
6	@untranslated	55.29	+0.2	69.37	+0.2	93.72	-0.0
13	@translated	53.07	--2.0	67.53	--1.6	93.29	--0.4
