model	compression_ratio_nob	compression_ratio_nno	lix_score_nob	lix_score_nno	self_bleu_nob	self_bleu_nno	inverse_compression_nob	inverse_compression_nno	min_max_lix_nob	min_max_lix_nno	inverse_sb_nob	inverse_sb_nno	average	rank
mimir-7b-books	2.5505	2.4145	35.240286	29.356574	0.289581	0.227093	39.20799843	41.41644233	61.899285	76.608565	71.0419	77.2907	61.24414846	4
mimir-7b-factual	2.4969	2.3764	35.056581	30.862024	0.28162	0.225679	40.04966158	42.08045784	62.3585475	72.84494	71.838	77.4321	61.10061782	6
mimir-7b-fiction	2.4991	2.4087	30.050718	25.989698	0.30789	0.246371	40.01440519	41.51617055	74.873205	85.025755	69.211	75.3629	64.33390596	1
mimir-7b-newspapers	2.4586	2.3799	34.923326	31.581992	0.278964	0.234453	40.67355406	42.01857221	62.691685	71.04502	72.1036	76.5547	60.84785521	9
mimir-7b-nonfiction	2.5666	2.3913	37.195785	31.06348	0.278809	0.214162	38.96205096	41.81825785	57.0105375	72.3413	72.1191	78.5838	60.13917439	13
mimir-7b-rightholders	2.4844	2.3794	34.803518	30.619289	0.282562	0.228682	40.25116728	42.02740187	62.991205	73.4517775	71.7438	77.1318	61.26619194	3
mimir-7b-translated	2.5178	2.3942	33.667913	28.181469	0.302444	0.237206	39.71721344	41.76760505	65.8302175	79.5463275	69.7556	76.2794	62.14939391	2
mimir-7b-untranslated	2.5538	2.4059	36.265242	29.994066	0.276205	0.224568	39.15733417	41.5644873	59.336895	75.014835	72.3795	77.5432	60.83270858	10
mimir-7b-untranslated-withnewspapers	2.4987	2.3926	35.105983	30.813779	0.282606	0.230568	40.02081082	41.79553624	62.2350425	72.9655525	71.7394	76.9432	60.94992368	7
mimir-mistral-7b-base	2.4732	2.3665	37.211602	31.925394	0.258074	0.209464	40.43344655	42.25649694	56.970995	70.186515	74.1926	79.0536	60.51560891	11
mimir-mistral-7b-base-instruct	2.4921	2.3855	38.527015	32.965003	0.255957	0.209484	40.12680069	41.91993293	53.6824625	67.5874925	74.4043	79.0516	59.4620981	15
mimir-mistral-7b-base-scratch	2.4977	2.3862	37.178967	32.959286	0.271984	0.21414	40.03683389	41.90763557	57.0525825	67.601785	72.8016	78.586	59.66440616	14
mimir-mistral-7b-base-scratch-instruct	2.5683	2.4383	38.639913	33.694775	0.27517	0.215234	38.93626134	41.01218062	53.4002175	65.7630625	72.483	78.4766	58.34522033	17
mimir-mistral-7b-extended	2.4614	2.3605	36.384223	30.915965	0.264629	0.215846	40.62728528	42.36390595	59.0394425	72.7100875	73.5371	78.4154	61.11553687	5
mimir-mistral-7b-extended-scratch	2.4799	2.386	36.05594	30.78779	0.2732	0.227035	40.32420662	41.91114837	59.86015	73.030525	72.68	77.2965	60.85042166	8
mimir-mistral-7b-extended-scratch-instruct	2.5467	2.4228	37.61391	32.192162	0.278092	0.224873	39.26650175	41.27455836	55.965225	69.519595	72.1908	77.5127	59.28823002	16
mimir-mistral-7b-extended-instruct	2.4925	2.3747	37.238973	31.845322	0.262522	0.211487	40.12036108	42.11058239	56.9025675	70.386695	73.7478	78.8513	60.35321766	12
