Rank	Model	bleu	delta bleu	chrf	delta chrf	bertscore_f1	delta bertscore_f1
3	@extended	13.08	xmark	45.68	xmark	85.59	xmark
2	@extendedscratch	14.95	xmark	46.9	xmark	88.09	xmark
5	@base	9.27	xmark	38.55	xmark	85.65	xmark
3	@basescratch	12.3	xmark	42.82	xmark	86.47	xmark
13	@fiction	4.7	--7.6	26.23	--16.6	80.56	--5.9
7	@nonfiction	5.58	--6.7	29.86	--13.0	80.76	--5.7
6	@factual	5.05	--7.3	27.91	--14.9	81.29	--5.2
1	@newspapers	28.18	+15.9	56.67	+13.8	88.34	+1.9
12	@books	4.72	--7.6	26.8	--16.0	80.35	--6.1
9	@rightholders	4.88	--7.4	27.5	--15.3	81.04	--5.4
8	@untranslatedwithnewspapers	4.87	--7.4	27.51	--15.3	81.44	--5.0
10	@untranslated	4.88	--7.4	27.36	--15.5	80.77	--5.7
11	@translated	4.84	--7.5	27.7	--15.1	80.19	--6.3
2	@extended	46.57	xmark	65.69	xmark	92.42	xmark
3	@extendedscratch	45.5	xmark	64.32	xmark	91.9	xmark
1	@base	47.07	xmark	65.76	xmark	92.35	xmark
10	@basescratch	41.8	xmark	60.93	xmark	90.75	xmark
12	@fiction	40.41	--1.4	60.14	--0.8	90.24	--0.5
7	@nonfiction	41.21	--0.6	61.28	+0.4	90.96	+0.2
4	@factual	42.41	+0.6	62.43	+1.5	91.27	+0.5
6	@newspapers	41.89	+0.1	61.91	+1.0	90.79	-0.0
8	@books	40.4	--1.4	61.74	+0.8	90.79	-0.0
10	@rightholders	39.94	--1.9	61.46	+0.5	90.88	+0.1
5	@untranslatedwithnewspapers	40.82	--1.0	62.18	+1.2	91.18	+0.4
9	@untranslated	39.86	--1.9	61.66	+0.7	90.95	+0.2
13	@translated	38.57	--3.2	60.15	--0.8	90.16	--0.6
1	@extended	45.84	xmark	65.47	xmark	92.27	xmark
3	@extendedscratch	44.59	xmark	63.92	xmark	91.92	xmark
2	@base	46.04	xmark	65.26	xmark	92.25	xmark
11	@basescratch	42.73	xmark	62.17	xmark	91.18	xmark
12	@fiction	41.77	--1.0	60.9	--1.3	90.9	--0.3
5	@nonfiction	43.02	+0.3	62.53	+0.4	91.44	+0.3
7	@factual	42.87	+0.1	62.6	+0.4	91.35	+0.2
4	@newspapers	44.13	+1.4	63.39	+1.2	91.37	+0.2
8	@books	42.13	--0.6	62.46	+0.3	91.37	+0.2
10	@rightholders	42.72	--0.0	62.44	+0.3	91.25	+0.1
6	@untranslatedwithnewspapers	43.04	+0.3	62.86	+0.7	91.36	+0.2
8	@untranslated	42.6	--0.1	62.38	+0.2	91.42	+0.2
13	@translated	40.88	--1.8	60.84	--1.3	90.94	--0.2
2	@extended	46.84	xmark	66.15	xmark	92.47	xmark
3	@extendedscratch	45.11	xmark	64.42	xmark	91.98	xmark
1	@base	47.54	xmark	66.6	xmark	92.78	xmark
10	@basescratch	44.29	xmark	63.28	xmark	91.46	xmark
13	@fiction	42.67	--1.6	61.47	--1.8	91.16	--0.3
4	@nonfiction	45.59	+1.3	64.03	+0.8	91.78	+0.3
5	@factual	45.44	+1.1	64.4	+1.1	91.76	+0.3
8	@newspapers	44.96	+0.7	63.41	+0.1	91.48	-0.0
10	@books	43.88	--0.4	63.2	--0.1	91.54	+0.1
7	@rightholders	45.08	+0.8	63.71	+0.4	91.74	+0.3
9	@untranslatedwithnewspapers	44.44	+0.1	63.39	+0.1	91.56	+0.1
6	@untranslated	44.72	+0.4	63.82	+0.5	91.8	+0.3
12	@translated	42.67	--1.6	61.92	--1.4	91.28	--0.2
