model	errant	k	prompt
mimir-mistral-7b-extended-instruct	0.3225	0	4
mimir-mistral-7b-extended-instruct	0.378	0	2
mimir-mistral-7b-extended-instruct	0.3328	0	3
mimir-mistral-7b-extended-instruct	0.022	0	0
mimir-mistral-7b-extended-instruct	0.0564	0	1
mimir-mistral-7b-extended-scratch-instruct	0.1838	0	4
mimir-mistral-7b-extended-scratch-instruct	0.1862	0	2
mimir-mistral-7b-extended-scratch-instruct	0.0601	0	1
mimir-mistral-7b-extended-scratch-instruct	0.0401	0	3
mimir-mistral-7b-extended-scratch-instruct	0.0454	0	0
Mistral-7B-v0.1	0.263	0	2
Mistral-7B-v0.1	0.0398	0	3
mimir-mistral-7b-base-scratch-instruct	0.1099	0	2
mimir-mistral-7b-base-scratch-instruct	0.014	0	0
mimir-mistral-7b-base-scratch-instruct	0.015	0	1
mimir-mistral-7b-base-scratch-instruct	0.1713	0	4
mimir-mistral-7b-base-scratch-instruct	0.0393	0	3
mimir-mistral-7b-base-instruct	0.0293	0	1
mimir-mistral-7b-base-instruct	0.021	0	0
mimir-mistral-7b-base-instruct	0.392	0	2
mimir-mistral-7b-base-instruct	0.3194	0	4
mimir-mistral-7b-base-instruct	0.3221	0	3
mimir-mistral-7b-extended-instruct	0.4416	1	4
mimir-mistral-7b-extended-instruct	0.436	1	2
mimir-mistral-7b-extended-instruct	0.4408	1	3
mimir-mistral-7b-extended-instruct	0.3834	1	0
mimir-mistral-7b-extended-instruct	0.4125	1	1
mimir-mistral-7b-extended-scratch-instruct	0.2733	1	4
mimir-mistral-7b-extended-scratch-instruct	0.2524	1	2
mimir-mistral-7b-extended-scratch-instruct	0.2352	1	1
mimir-mistral-7b-extended-scratch-instruct	0.2345	1	3
mimir-mistral-7b-extended-scratch-instruct	0.1958	1	0
Mistral-7B-v0.1	0.225	1	1
Mistral-7B-v0.1	0.2513	1	4
Mistral-7B-v0.1	0.2377	1	0
Mistral-7B-v0.1	0.2555	1	2
Mistral-7B-v0.1	0.2357	1	3
mimir-mistral-7b-base-scratch-instruct	0.2215	1	2
mimir-mistral-7b-base-scratch-instruct	0.1781	1	0
mimir-mistral-7b-base-scratch-instruct	0.1967	1	1
mimir-mistral-7b-base-scratch-instruct	0.2482	1	4
mimir-mistral-7b-base-scratch-instruct	0.1561	1	3
mimir-mistral-7b-base-instruct	0.3787	1	1
mimir-mistral-7b-base-instruct	0.3633	1	0
mimir-mistral-7b-base-instruct	0.4344	1	2
mimir-mistral-7b-base-instruct	0.438	1	4
mimir-mistral-7b-base-instruct	0.4411	1	3
mimir-mistral-7b-extended-instruct	0.4683	4	4
mimir-mistral-7b-extended-instruct	0.4666	4	2
mimir-mistral-7b-extended-instruct	0.4826	4	3
mimir-mistral-7b-extended-instruct	0.4585	4	0
mimir-mistral-7b-extended-instruct	0.4591	4	1
mimir-mistral-7b-extended-scratch-instruct	0.3512	4	4
mimir-mistral-7b-extended-scratch-instruct	0.3342	4	2
mimir-mistral-7b-extended-scratch-instruct	0.3131	4	1
mimir-mistral-7b-extended-scratch-instruct	0.3492	4	3
mimir-mistral-7b-extended-scratch-instruct	0.2988	4	0
Mistral-7B-v0.1	0.2663	4	1
Mistral-7B-v0.1	0.2832	4	4
Mistral-7B-v0.1	0.2825	4	0
Mistral-7B-v0.1	0.2969	4	2
Mistral-7B-v0.1	0.2699	4	3
mimir-mistral-7b-base-scratch-instruct	0.4529	4	1
mimir-mistral-7b-base-scratch-instruct	0.3005	4	2
mimir-mistral-7b-base-scratch-instruct	0.293	4	0
mimir-mistral-7b-base-scratch-instruct	0.2742	4	1
mimir-mistral-7b-base-scratch-instruct	0.455	4	0
mimir-mistral-7b-base-scratch-instruct	0.4611	4	2
mimir-mistral-7b-base-scratch-instruct	0.318	4	4
mimir-mistral-7b-base-scratch-instruct	0.4711	4	4
mimir-mistral-7b-base-scratch-instruct	0.2813	4	3
mimir-mistral-7b-base-scratch-instruct	0.4764	4	3
mimir-mistral-7b-base-instruct	0.455	4	0
mimir-mistral-7b-base-instruct	0.4529	4	1
mimir-mistral-7b-base-instruct	0.4611	4	2
mimir-mistral-7b-base-instruct	0.4764	4	3
mimir-mistral-7b-base-instruct	0.4711	4	4
mimir-mistral-7b-extended-instruct	0.4991	16	4
mimir-mistral-7b-extended-instruct	0.495	16	2
mimir-mistral-7b-extended-instruct	0.5039	16	3
mimir-mistral-7b-extended-instruct	0.4895	16	0
mimir-mistral-7b-extended-instruct	0.4934	16	1
mimir-mistral-7b-extended-scratch-instruct	0.4078	16	4
mimir-mistral-7b-extended-scratch-instruct	0.3721	16	2
mimir-mistral-7b-extended-scratch-instruct	0.361	16	1
mimir-mistral-7b-extended-scratch-instruct	0.3868	16	3
mimir-mistral-7b-extended-scratch-instruct	0.3592	16	0
Mistral-7B-v0.1	0.2993	16	1
Mistral-7B-v0.1	0.3064	16	4
Mistral-7B-v0.1	0.3033	16	0
Mistral-7B-v0.1	0.3118	16	2
Mistral-7B-v0.1	0.2983	16	3
mimir-mistral-7b-base-scratch-instruct	0.3186	16	2
mimir-mistral-7b-base-scratch-instruct	0.3074	16	0
mimir-mistral-7b-base-scratch-instruct	0.3056	16	1
mimir-mistral-7b-base-scratch-instruct	0.3409	16	4
mimir-mistral-7b-base-scratch-instruct	0.3155	16	3
mimir-mistral-7b-base-instruct	0.486	16	1
mimir-mistral-7b-base-instruct	0.4743	16	0
mimir-mistral-7b-base-instruct	0.4778	16	2
mimir-mistral-7b-base-instruct	0.4877	16	4
mimir-mistral-7b-base-instruct	0.5015	16	3
